epoch,i,reward,x_movement,success,iterations,time
186,22370,261.0,285,0,39,7
187,22432,505.0,533,0,50,10
188,22470,170.0,191,0,20,3
189,22496,161.0,183,0,23,4
190,22603,275.0,299,0,34,6
191,22682,469.0,506,0,111,22
192,22710,162.0,184,0,23,4
193,23422,420.0,447,0,51,10
194,23464,298.0,322,0,35,6
195,23493,165.0,187,0,22,4
196,23657,162.0,184,0,23,4
197,23716,298.0,322,0,35,6
198,23772,501.0,530,0,55,11
199,23801,501.0,530,0,55,11
200,23854,156.0,178,0,23,4
